DRN_custom,fourth_ventricle,MRN,GLM,contrast,timelock
0.0282853699865042,-0.0269385080204978,0.0279534827429586,GLM_04.1a_supp,contr1,offer-timelocked
-0.0756543323580864,-0.122546061580305,0.0703162692010603,GLM_04.1a_supp,contr1,offer-timelocked
-0.0122495717854995,-0.0561595104303766,0.0834432665258919,GLM_04.1a_supp,contr1,offer-timelocked
0.031030589561371,-0.0170979979952024,-0.153109426378084,GLM_04.1a_supp,contr1,offer-timelocked
-0.0439167623120903,0.0668536116434853,0.0581481401144524,GLM_04.1a_supp,contr1,offer-timelocked
0.064576882019683,0.0261818853099535,0.0208541295814265,GLM_04.1a_supp,contr1,offer-timelocked
0.00140796841580388,0.0843280779308751,0.00656247078002871,GLM_04.1a_supp,contr1,offer-timelocked
0.0390723019884918,0.0351305005494682,0.0756162683867593,GLM_04.1a_supp,contr1,offer-timelocked
0.0429077251137112,0.0360495812172368,-0.0766614991088416,GLM_04.1a_supp,contr1,offer-timelocked
-0.0462660302347078,-0.0306277373654907,-0.0186611470473561,GLM_04.1a_supp,contr1,offer-timelocked
0.166654441709514,-0.075055855740931,-0.0579047501582397,GLM_04.1a_supp,contr1,offer-timelocked
0.1083062663499,-0.039479127084201,-0.00423763295585392,GLM_04.1a_supp,contr1,offer-timelocked
0.0753430668663194,0.0721726510260282,-0.0370190149323332,GLM_04.1a_supp,contr1,offer-timelocked
0.140873392484102,0.0378416930345873,-0.114574508003272,GLM_04.1a_supp,contr1,offer-timelocked
0.0622492579428602,-0.00124881355167153,-0.0744757314033972,GLM_04.1a_supp,contr1,offer-timelocked
0.159527806618968,-0.127326671138876,0.25541240916514,GLM_04.1a_supp,contr1,offer-timelocked
-0.0035898587733828,-0.0553574075748192,-0.145139267443569,GLM_04.1a_supp,contr1,offer-timelocked
0.114369852647723,-0.0300674298652531,0.0518346646859744,GLM_04.1a_supp,contr1,offer-timelocked
-0.048365064610929,-0.127294253667805,-0.0770314029999094,GLM_04.1a_supp,contr1,offer-timelocked
0.0610793683496414,-0.00603714893742362,-0.028369434789858,GLM_04.1a_supp,contr1,offer-timelocked
0.0166532893156979,-0.132003126166753,0.0769931682879732,GLM_04.1a_supp,contr1,offer-timelocked
0.000145743146011367,0.0159560304219509,-0.0333067612563757,GLM_04.1a_supp,contr1,offer-timelocked
-0.0394022252456991,0.169001088481267,-0.0624087462390054,GLM_04.1a_supp,contr1,offer-timelocked
-0.0100769040063569,0.111733876693617,-0.0135103504854452,GLM_04.1a_supp,contr1,offer-timelocked
0.0521142078526059,-0.124950132426842,-0.0996560688640826,GLM_04.1a_supp,contr1,offer-timelocked
5.70523275261591e-05,-0.0188921790363879,0.0207802181310045,GLM_04.1a_supp,contr1,offer-timelocked
0.069175830448626,0.00257869781082008,0.0861409840864424,GLM_04.1a_supp,contr1,offer-timelocked
