DRN_custom,dACCsphere7,AIsphere7,GLM,contrast,timelock
0.12994580444682,0.0864959969781115,0.0426656638445294,GLM_04.2a_cortex,contr1,offer-timelocked
-0.00957037935306364,-0.056720010794758,-0.20735231791925,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0359278493323242,0.00526205326929669,0.273063393793759,GLM_04.2a_cortex,contr1,offer-timelocked
0.0712521920648263,0.0209404725883063,-0.013974956211504,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0705435956533345,-0.156219526951286,0.0501029831959458,GLM_04.2a_cortex,contr1,offer-timelocked
0.290867173501329,-0.170271419203411,0.382494737311593,GLM_04.2a_cortex,contr1,offer-timelocked
0.0557146474423247,0.238138954022973,0.166998142888249,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0150085793160537,0.251595257433942,0.0917145706582344,GLM_04.2a_cortex,contr1,offer-timelocked
0,0,0,GLM_04.2a_cortex,contr1,offer-timelocked
-0.295451709471305,-0.300651202515562,-0.290306544627185,GLM_04.2a_cortex,contr1,offer-timelocked
0.466450571586544,0.0238936591490086,0.0381716182441043,GLM_04.2a_cortex,contr1,offer-timelocked
0.0835404126600722,0.0525237246492668,0.199392792993272,GLM_04.2a_cortex,contr1,offer-timelocked
0.0508860173241551,0.0373952640219959,-0.161151482360404,GLM_04.2a_cortex,contr1,offer-timelocked
0,0,0,GLM_04.2a_cortex,contr1,offer-timelocked
0.104104721738262,-0.0218741978406748,0.0295181872509232,GLM_04.2a_cortex,contr1,offer-timelocked
0.283813184128727,-0.0610473961490982,0.266400384429276,GLM_04.2a_cortex,contr1,offer-timelocked
0.276875053840222,-0.00564127226818077,0.0605594373780863,GLM_04.2a_cortex,contr1,offer-timelocked
0.0293960845538821,0.027789622767423,0.0114624102009673,GLM_04.2a_cortex,contr1,offer-timelocked
0.0824085849113954,-0.0134005345965898,0.128514717557726,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0110923150918667,-0.209731444582743,-0.0154940313366768,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0926752157455587,-0.165485177357007,-0.0131855041326953,GLM_04.2a_cortex,contr1,offer-timelocked
0.0371045004870935,-0.0412428391682128,0.0938021394104028,GLM_04.2a_cortex,contr1,offer-timelocked
-0.0877481794645878,0.0515642530585787,-0.119746829132205,GLM_04.2a_cortex,contr1,offer-timelocked
0.217713160233995,0.0337734765516402,0.00846243762367031,GLM_04.2a_cortex,contr1,offer-timelocked
0.177297220027057,-0.0968668119219771,0.0114867229436252,GLM_04.2a_cortex,contr1,offer-timelocked
0.0565028181849779,-0.00845048563893137,0.0109929587030085,GLM_04.2a_cortex,contr1,offer-timelocked
0.52363857291599,-0.150940912656258,0.309744067127297,GLM_04.2a_cortex,contr1,offer-timelocked
