test,estimate,statistic,df,p_value,CI_low,CI_high,p_holm
window1_DRN_vs_0,0.012046369356999797,0.7980365088411999,26,0.43207827201564664,-0.01898186878467873,0.04307460749867833,1
window2_DRN_vs_0,-0.01717323145154263,-0.930003364565612,26,0.36092434231412296,-0.05513017241568806,0.020783709512602794,1
window3_DRN_vs_0,0.010462069106590312,0.49767049176605316,26,0.6228994391994522,-0.032749436083116056,0.05367357429629667,1
window4_DRN_vs_0,0.04717152832859512,1.5982638723384717,26,0.1220678068345085,-0.013495841323785602,0.10783889798097585,0.732406841007051
window5_DRN_vs_0,0.024642796900406515,0.9034431393214221,26,0.3745855377962931,-0.03142492034113371,0.08071051414194674,1
window6_DRN_vs_0,0.057872082237058954,1.874215117028745,26,0.07217985654854518,-0.005598630187042937,0.12134279466116084,0.5052589958398163
window7_DRN_vs_0,0.043288547004706836,1.5088719420216954,26,0.14338871163943,-0.01568324526351418,0.10226033927292785,0.732406841007051
window8_DRN_vs_0,0.062102990712656,2.335407194521401,26,0.027510247854972924,0.007442490420847244,0.11676349100446476,0.2200819828397834
window9_DRN_vs_0,0.06771414413008042,2.836873054640514,26,0.008711982476821816,0.018650116945570186,0.11677817131459065,0.07840784229139634
window10_DRN_vs_0,0.06841238146156667,3.4902971140274657,26,0.0017385271369279452,0.02812249797378242,0.1087022649493509,0.01738527136927945
