subject,mag,env,m,m_percent
103,5,poor,0.057692307692307696,5.769230769230769
103,5,rich,0,0
103,10,poor,0.5,50
103,10,rich,0.4117647058823529,41.17647058823529
103,50,poor,1,100
103,50,rich,0.9767441860465116,97.67441860465115
104,5,poor,0.022222222222222223,2.2222222222222223
104,5,rich,0,0
104,10,poor,0.5813953488372093,58.139534883720934
104,10,rich,0.20689655172413793,20.689655172413794
104,50,poor,1,100
104,50,rich,1,100
105,5,poor,0.023255813953488372,2.3255813953488373
105,5,rich,0.08333333333333333,8.333333333333332
105,10,poor,0.5666666666666667,56.666666666666664
105,10,rich,0.4642857142857143,46.42857142857143
105,50,poor,1,100
105,50,rich,1,100
106,5,poor,0.045454545454545456,4.545454545454546
106,5,rich,0,0
106,10,poor,0.7586206896551724,75.86206896551724
106,10,rich,0.6538461538461539,65.38461538461539
106,50,poor,1,100
106,50,rich,1,100
107,5,poor,0.061224489795918366,6.122448979591836
107,5,rich,0,0
107,10,poor,0.25,25
107,10,rich,0.06896551724137931,6.896551724137931
107,50,poor,1,100
107,50,rich,1,100
109,5,poor,0.30612244897959184,30.612244897959183
109,5,rich,0.7777777777777778,77.77777777777779
109,10,poor,0.6521739130434783,65.21739130434783
109,10,rich,0.9230769230769231,92.3076923076923
109,50,poor,1,100
109,50,rich,1,100
110,5,poor,0.058823529411764705,5.88235294117647
110,5,rich,0,0
110,10,poor,0.5,50
110,10,rich,0.3793103448275862,37.93103448275862
110,50,poor,1,100
110,50,rich,1,100
111,5,poor,0.038461538461538464,3.8461538461538463
111,5,rich,0,0
111,10,poor,0.25925925925925924,25.925925925925924
111,10,rich,0.5185185185185185,51.85185185185185
111,50,poor,1,100
111,50,rich,1,100
112,5,poor,0.023255813953488372,2.3255813953488373
112,5,rich,0,0
112,10,poor,0,0
112,10,rich,0,0
112,50,poor,1,100
112,50,rich,0.9534883720930233,95.34883720930233
114,5,poor,0,0
114,5,rich,0,0
114,10,poor,0.9230769230769231,92.3076923076923
114,10,rich,0.7352941176470589,73.52941176470588
114,50,poor,0.9473684210526315,94.73684210526315
114,50,rich,1,100
115,5,poor,0,0
115,5,rich,0,0
115,10,poor,0.8125,81.25
115,10,rich,0.6521739130434783,65.21739130434783
115,50,poor,0.9473684210526315,94.73684210526315
115,50,rich,0.8292682926829268,82.92682926829268
116,5,poor,0.1794871794871795,17.94871794871795
116,5,rich,0.2222222222222222,22.22222222222222
116,10,poor,0.43243243243243246,43.24324324324324
116,10,rich,0.26666666666666666,26.666666666666668
116,50,poor,1,100
116,50,rich,0.925,92.5
117,5,poor,0.46153846153846156,46.15384615384615
117,5,rich,0.08333333333333333,8.333333333333332
117,10,poor,0.8461538461538461,84.61538461538461
117,10,rich,0.7586206896551724,75.86206896551724
117,50,poor,1,100
117,50,rich,1,100
118,5,poor,0.4166666666666667,41.66666666666667
118,5,rich,0.2,20
118,10,poor,1,100
118,10,rich,1,100
118,50,poor,0.9444444444444444,94.44444444444444
118,50,rich,1,100
119,5,poor,0.027777777777777776,2.7777777777777777
119,5,rich,0.05263157894736842,5.263157894736842
119,10,poor,0.90625,90.625
119,10,rich,1,100
119,50,poor,1,100
119,50,rich,1,100
121,5,poor,0.09302325581395349,9.30232558139535
121,5,rich,0,0
121,10,poor,0.9655172413793104,96.55172413793103
121,10,rich,0.8,80
121,50,poor,0.9285714285714286,92.85714285714286
121,50,rich,0.9487179487179487,94.87179487179486
122,5,poor,0.12195121951219512,12.195121951219512
122,5,rich,0.06666666666666667,6.666666666666667
122,10,poor,0.918918918918919,91.8918918918919
122,10,rich,1,100
122,50,poor,1,100
122,50,rich,0.9714285714285714,97.14285714285714
123,5,poor,0.14,14.000000000000002
123,5,rich,0.3125,31.25
123,10,poor,0.4074074074074074,40.74074074074074
123,10,rich,0.44,44
123,50,poor,1,100
123,50,rich,0.975,97.5
124,5,poor,0.061224489795918366,6.122448979591836
124,5,rich,0,0
124,10,poor,0.6666666666666666,66.66666666666666
124,10,rich,0.5925925925925926,59.25925925925925
124,50,poor,1,100
124,50,rich,1,100
125,5,poor,0.11627906976744186,11.627906976744185
125,5,rich,0.125,12.5
125,10,poor,0.6129032258064516,61.29032258064516
125,10,rich,0.34615384615384615,34.61538461538461
125,50,poor,1,100
125,50,rich,1,100
126,5,poor,0.02127659574468085,2.127659574468085
126,5,rich,0,0
126,10,poor,0.625,62.5
126,10,rich,0.3142857142857143,31.428571428571427
126,50,poor,1,100
126,50,rich,1,100
128,5,poor,0.04,4
128,5,rich,0,0
128,10,poor,0.34615384615384615,34.61538461538461
128,10,rich,0.5,50
128,50,poor,1,100
128,50,rich,1,100
130,5,poor,0.04,4
130,5,rich,0,0
130,10,poor,0.2647058823529412,26.47058823529412
130,10,rich,0.20588235294117646,20.588235294117645
130,50,poor,0.9444444444444444,94.44444444444444
130,50,rich,1,100
131,5,poor,0.16216216216216217,16.216216216216218
131,5,rich,0.06666666666666667,6.666666666666667
131,10,poor,0.8823529411764706,88.23529411764706
131,10,rich,0.75,75
131,50,poor,0.9375,93.75
131,50,rich,1,100
132,5,poor,0.05,5
132,5,rich,0,0
132,10,poor,0.6857142857142857,68.57142857142857
132,10,rich,0.7142857142857143,71.42857142857143
132,50,poor,1,100
132,50,rich,1,100
133,5,poor,0.3,30
133,5,rich,0.25,25
133,10,poor,0.75,75
133,10,rich,0.8064516129032258,80.64516129032258
133,50,poor,1,100
133,50,rich,1,100
135,5,poor,0.11320754716981132,11.320754716981133
135,5,rich,0.17647058823529413,17.647058823529413
135,10,poor,0.9629629629629629,96.29629629629629
135,10,rich,0.96,96
135,50,poor,1,100
135,50,rich,1,100
