env,trial_n_block,mag_factor,m
poor,1,50-points,100
poor,2,50-points,91.66666666666666
poor,3,50-points,100
poor,4,50-points,100
poor,5,50-points,95.23809523809523
poor,6,50-points,100
poor,7,50-points,100
poor,8,50-points,100
poor,9,50-points,100
poor,10,50-points,96.29629629629629
poor,11,50-points,96.29629629629629
poor,12,50-points,96.29629629629629
poor,13,50-points,100
poor,14,50-points,100
poor,15,50-points,100
poor,16,50-points,100
poor,17,50-points,100
poor,18,50-points,100
poor,19,50-points,100
poor,20,50-points,100
poor,21,50-points,100
rich,1,50-points,98.59154929577466
rich,2,50-points,100
rich,3,50-points,98.48484848484848
rich,4,50-points,98.52941176470588
rich,5,50-points,96.15384615384616
rich,6,50-points,100
rich,7,50-points,100
rich,8,50-points,100
rich,9,50-points,98.71794871794873
rich,10,50-points,93.75
rich,11,50-points,100
rich,12,50-points,100
rich,13,50-points,100
rich,14,50-points,96.7741935483871
rich,15,50-points,98.4126984126984
rich,16,50-points,94.11764705882352
rich,17,50-points,95.45454545454545
rich,18,50-points,100
rich,19,50-points,100
rich,20,50-points,100
