GLM,contrast,timelock,region,peak,facet_label
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252800873961374,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.136463530711927,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0678923576395822,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.067971878908299,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0.186553487349164,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.104319152310982,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.13627192715541,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0439626934318497,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.124186873475327,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.182863960457359,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.036401374596447,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0235815870257316,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0.019303266793621002,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.248682947906149,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252423996254893,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0.00821458819399628,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.156237481435722,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.184281937557273,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.287666628054812,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0.187180805807069,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,0.0101520937581343,(v)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.138788347468845,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.00483681921070798,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.0441579067787486,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.0977119176880623,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.233264478113514,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.0287638542300604,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0.163765603290602,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0.0399399710790809,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0.0525360482937707,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,-0.0218967550194228,(v)
GLM_04.2c_low,contr1,offer-timelocked,DRN,0,(v)
