subject,p_accept_10_diff,AI_H2,constant
103,0.058516196,0.029872658,1
104,0.395238095,0.007460454,1
106,0.104774536,-0.015063188,1
107,0.161220044,-0.044756334,1
109,-0.27090301,-0.163184339,1
110,0.151851852,0.101164466,1
111,-0.288461538,-0.132296994,1
114,0.187782805,0.041922175,1
115,0.160326087,0.04511277,1
116,0.126344086,-0.015106921,1
117,0.087533156,0.03304627,1
119,-0.096774194,-0.078492041,1
121,0.165517241,0.003129523,1
122,-0.081081081,-0.086981902,1
123,0,-0.109932153,1
124,0.101648352,-0.087470773,1
125,0.26674938,0.041608211,1
128,-0.10962963,-0.004061572,1
130,0.058823529,0.065753809,1
131,0.146583851,0.027270637,1
132,-0.074074074,0.02786309,1
133,-0.056451613,-0.062226308,1
135,0.002962963,0.006661325,1
