mean_split,opt_1,opt_2,env,mean_d_val
non-adaptive,low,low,poor,NA
non-adaptive,low,low,rich,NA
non-adaptive,low,mid,poor,0.8941782428888889
non-adaptive,low,mid,rich,0.9115226058888889
non-adaptive,low,high,poor,NA
non-adaptive,low,high,rich,NA
non-adaptive,mid,low,poor,0.8941782428888889
non-adaptive,mid,low,rich,0.9115226058888889
non-adaptive,mid,mid,poor,NA
non-adaptive,mid,mid,rich,NA
non-adaptive,mid,high,poor,0.9222695678888889
non-adaptive,mid,high,rich,0.8553083574444444
non-adaptive,high,low,poor,NA
non-adaptive,high,low,rich,NA
non-adaptive,high,mid,poor,0.9222695678888889
non-adaptive,high,mid,rich,0.8553083574444444
non-adaptive,high,high,poor,NA
non-adaptive,high,high,rich,NA
