subject,p_accept_10_diff,dACC_H2,constant
103,0.058516196,-0.081704576,1
104,0.395238095,0.053157805,1
106,0.104774536,0.021507005,1
107,0.161220044,-0.005174643,1
109,-0.27090301,-0.193618926,1
110,0.151851852,0.039830802,1
111,-0.288461538,-0.137064068,1
114,0.187782805,-0.056800473,1
115,0.160326087,0.060902068,1
116,0.126344086,0.021405498,1
117,0.087533156,0.026811415,1
119,-0.096774194,-0.025123671,1
121,0.165517241,-0.012102944,1
122,-0.081081081,-0.118034558,1
123,0,-0.084549049,1
124,0.101648352,0.122440295,1
125,0.26674938,0.025514591,1
128,-0.10962963,-0.0085329,1
130,0.058823529,0.064133255,1
131,0.146583851,-0.039722803,1
132,-0.074074074,0.030185998,1
133,-0.056451613,-0.055464823,1
135,0.002962963,-0.013655704,1
